,data,PIB
1,1996,12.07684666
2,1996.25,12.08524773
3,1996.5,12.12334604
4,1996.75,12.11337923
5,1997,12.1223431
6,1997.25,12.13140702
7,1997.5,12.1419132
8,1997.75,12.14996314
9,1998,12.13166338
10,1998.25,12.14601192
11,1998.5,12.14688512
12,1998.75,12.13525933
13,1999,12.13834965
14,1999.25,12.14161887
15,1999.5,12.142303
16,1999.75,12.15651826
17,2000,12.16767874
18,2000.25,12.18044392
19,2000.5,12.1934013
20,2000.75,12.20589938
21,2001,12.20847645
22,2001.25,12.20326997
23,2001.5,12.19913901
24,2001.75,12.19568286
25,2002,12.21724065
26,2002.25,12.22579542
27,2002.5,12.23592189
28,2002.75,12.24644058
29,2003,12.24294893
30,2003.25,12.23327411
31,2003.5,12.24228581
32,2003.75,12.25324984
33,2004,12.26785528
34,2004.25,12.29407583
35,2004.5,12.30575281
36,2004.75,12.31452374
37,2005,12.32105305
38,2005.25,12.33707104
39,2005.5,12.32649672
40,2005.75,12.34157841
41,2006,12.35823851
42,2006.25,12.3588139
43,2006.5,12.37512349
44,2006.75,12.38925658
45,2007,12.40883082
46,2007.25,12.42153566
47,2007.5,12.43219535
48,2007.75,12.44934771
49,2008,12.46056838
50,2008.25,12.48270282
51,2008.5,12.49527589
52,2008.75,12.45977392
53,2009,12.44791166
54,2009.25,12.46037616
55,2009.5,12.48394697
56,2009.75,12.51196409
57,2010,12.53511953
58,2010.25,12.54209875
59,2010.5,12.55156334
60,2010.75,12.56781235
61,2011,12.58365858
62,2011.25,12.58877794
63,2011.5,12.58728041
64,2011.75,12.59860924
65,2012,12.5853476
66,2012.25,12.59957576
67,2012.5,12.61807007
68,2012.75,12.61847153
69,2013,12.62209292
70,2013.25,12.63992697
71,2013.5,12.64165795
72,2013.75,12.64372352
73,2014,12.65407316
74,2014.25,12.63609478
75,2014.5,12.6363833
76,2014.75,12.64175155
77,2015,12.63587482
78,2015.25,12.60893477
79,2015.5,12.59331054
80,2015.75,12.58561857
81,2016,12.56917349
82,2016.25,12.57679554
83,2016.5,12.56850112
84,2016.75,12.56800274
85,2017,12.57892609
86,2017.25,12.58512814
87,2017.5,12.58899974
88,2017.75,12.59420097
89,2018,12.59711995
90,2018.25,12.60166148
91,2018.5,12.60890857
92,2018.75,12.60539989
93,2019,12.61021211
94,2019.25,12.61387529
95,2019.5,12.61463585
96,2019.75,12.62307751
97,2020,12.60102051
98,2020.25,12.50721414
99,2020.5,12.58357063
100,2020.75,12.62060859
101,2021,12.63041198
102,2021.25,12.62348325
103,2021.5,12.62470587
104,2021.75,12.63636883
105,2022,12.64472656
106,2022.25,12.65731698
107,2022.5,12.66697379
108,2022.75,12.66892791
109,2023,12.68133788
110,2023.25,12.69035235
111,2023.5,12.69091156
112,2023.75,12.69039114
113,2024,12.69812961
